               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.043545,            0.027731,                   0,             0.99611,                   1,               0.995,               0.597,            0.026897,            0.012263,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.043209,             0.02731,                   0,             0.99781,                   1,               0.995,              0.6965,            0.015464,           0.0084658,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.042927,            0.027968,                   0,             0.89373,                   1,               0.995,               0.796,            0.018432,            0.010746,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.042484,            0.027473,                   0,             0.99806,                   1,               0.995,              0.2985,             0.02131,            0.012628,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.042429,             0.02827,                   0,              0.9966,                   1,               0.995,              0.6965,            0.016995,            0.007242,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.042203,            0.026535,                   0,             0.99893,                   1,               0.995,               0.597,            0.015422,           0.0086598,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.041419,            0.027357,                   0,             0.24969,                   1,             0.24875,               0.199,             0.01173,            0.022737,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.041652,            0.026937,                   0,             0.99335,                   1,               0.995,               0.597,            0.012397,            0.011294,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.041205,            0.026862,                   0,             0.99756,                   1,               0.995,               0.597,            0.013717,           0.0078024,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.040825,             0.02629,                   0,             0.99998,                   1,               0.995,               0.796,            0.014992,           0.0073242,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.040535,            0.026281,                   0,             0.99732,                   1,               0.995,               0.796,            0.013278,            0.010711,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.040655,            0.026813,                   0,             0.49979,                   1,              0.4975,              0.2985,            0.016498,            0.012954,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.040173,            0.026592,                   0,             0.99913,                   1,               0.995,              0.6965,            0.018067,           0.0086185,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.040003,            0.026338,                   0,             0.49764,                   1,              0.4975,              0.0995,            0.019945,            0.012933,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.039715,            0.026289,                   0,             0.99646,                   1,               0.995,               0.398,            0.015932,            0.010628,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.039671,             0.02584,                   0,             0.99896,                   1,               0.995,              0.2985,             0.01824,           0.0074784,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.039905,            0.026397,                   0,             0.49978,                   1,              0.4975,               0.199,            0.012737,            0.014901,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.03931,            0.025493,                   0,             0.99432,                   1,               0.995,               0.796,            0.015631,            0.013666,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.039543,            0.025692,                   0,              0.9975,                   1,               0.995,               0.796,            0.013084,           0.0078444,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.039112,            0.025217,                   0,             0.99844,                   1,               0.995,               0.796,            0.014255,           0.0091969,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.039054,            0.025322,                   0,             0.99794,                   1,               0.995,              0.8955,            0.012011,            0.011036,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.038766,            0.025645,                   0,             0.99964,                   1,               0.995,              0.6965,            0.010893,           0.0089402,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.038438,            0.024946,                   0,             0.99496,                   1,               0.995,              0.6965,             0.01177,            0.013288,                   0,            0.003961,            0.003961,            0.003961
                  63,              0.0384,            0.024746,                   0,             0.99904,                   1,               0.995,               0.796,            0.013446,           0.0081014,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.03802,            0.025552,                   0,              0.9996,                   1,               0.995,              0.8955,            0.010326,            0.011242,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.03769,            0.024787,                   0,               0.999,                   1,               0.995,              0.6965,            0.014694,           0.0083853,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.037703,            0.025027,                   0,             0.99926,                   1,               0.995,              0.6965,            0.018775,           0.0091711,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.038017,            0.025087,                   0,              0.9993,                   1,               0.995,              0.6965,            0.017338,            0.011693,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.03823,             0.02498,                   0,             0.99911,                   1,               0.995,               0.796,            0.008923,            0.012712,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.037227,            0.025351,                   0,             0.99925,                   1,               0.995,               0.796,            0.014132,            0.011813,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.037581,            0.024083,                   0,             0.99899,                   1,               0.995,               0.796,            0.011757,            0.012382,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.037029,            0.023975,                   0,             0.99921,                   1,               0.995,              0.8955,            0.007287,           0.0088283,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.036622,            0.024452,                   0,             0.99921,                   1,               0.995,               0.796,            0.012484,            0.015558,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.037229,            0.024789,                   0,             0.99798,                   1,               0.995,              0.8955,             0.01148,            0.012823,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.036315,            0.024715,                   0,              0.9998,                   1,               0.995,              0.8955,           0.0096271,           0.0070982,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.036363,              0.0243,                   0,             0.99875,                   1,               0.995,              0.8955,           0.0089215,            0.010386,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.036315,             0.02372,                   0,             0.99904,                   1,               0.995,              0.8955,            0.007999,           0.0084529,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.036176,             0.02403,                   0,             0.99846,                   1,               0.995,              0.6965,           0.0091596,           0.0086048,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.03578,            0.023867,                   0,             0.99842,                   1,               0.995,              0.8955,           0.0094587,            0.012974,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.035689,            0.023566,                   0,              0.9998,                   1,               0.995,               0.796,            0.011704,            0.013651,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.03594,            0.023479,                   0,             0.99972,                   1,               0.995,               0.796,            0.014097,            0.012621,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.03603,            0.024491,                   0,             0.49968,                   1,              0.4975,             0.44775,            0.010025,             0.01132,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.035201,            0.023715,                   0,             0.99998,                   1,               0.995,               0.796,            0.013604,            0.011763,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.035333,            0.022908,                   0,             0.99908,                   1,               0.995,               0.796,            0.013115,           0.0082516,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.03541,            0.024446,                   0,             0.99846,                   1,               0.995,               0.995,           0.0074595,             0.01035,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.035229,            0.023122,                   0,             0.99981,                   1,               0.995,               0.796,            0.013006,            0.010971,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.034626,            0.023719,                   0,             0.99981,                   1,               0.995,               0.796,            0.011523,            0.013086,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.03475,             0.02341,                   0,             0.99999,                   1,               0.995,              0.8955,           0.0088732,            0.010501,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.034527,            0.023402,                   0,             0.99809,                   1,               0.995,              0.8955,           0.0092898,            0.010018,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.034452,            0.023282,                   0,             0.99979,                   1,               0.995,               0.796,            0.011181,            0.011535,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.034505,            0.023256,                   0,               0.999,                   1,               0.995,               0.398,             0.01471,            0.013816,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.034471,            0.023218,                   0,             0.99989,                   1,               0.995,              0.8955,            0.011207,           0.0088553,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.034608,            0.022771,                   0,             0.99813,                   1,               0.995,               0.398,            0.012655,            0.012954,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.034369,            0.022977,                   0,             0.99869,                   1,               0.995,               0.796,            0.012728,            0.010395,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.033751,            0.022925,                   0,              0.9994,                   1,               0.995,              0.8955,            0.011368,            0.015759,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.034241,            0.024013,                   0,             0.99852,                   1,               0.995,              0.8955,           0.0089441,            0.012821,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.03406,            0.021853,                   0,             0.99941,                   1,               0.995,              0.8955,           0.0095618,            0.010092,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.033884,            0.022676,                   0,             0.96734,                   1,               0.995,               0.796,            0.013538,            0.014906,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.033881,             0.02286,                   0,             0.99817,                   1,               0.995,              0.8955,            0.010761,             0.01069,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.033672,             0.02276,                   0,             0.99937,                   1,               0.995,               0.796,            0.012286,            0.014007,                   0,            0.000298,            0.000298,            0.000298
